post_id,title,url,publication_date,modified_date,provenance
9976,ᚻ,https://lettersfortitles.com/%e1%9a%bb/,2022-10-17,2023-09-09,repository data/corpus.json; WordPress REST API harvest; day precision
9828,Rune Casting: Hægl,https://lettersfortitles.com/rune-casting-haegl/,2022-10-18,2022-10-19,repository data/corpus.json; WordPress REST API harvest; day precision
9824,Rune Casting: Lagu,https://lettersfortitles.com/rune-casting-lagu/,2022-10-19,2022-10-12,repository data/corpus.json; WordPress REST API harvest; day precision
9994,How to Survive a Tornado,https://lettersfortitles.com/how-to-survive-a-tornado/,2022-10-20,2022-10-20,repository data/corpus.json; WordPress REST API harvest; day precision
9844,H is for Hægl,https://lettersfortitles.com/h-is-for-haegl/,2022-10-21,2022-11-10,repository data/corpus.json; WordPress REST API harvest; day precision
9999,X≠Y≠Z: (X+Y)-Z=(X-Y)÷Z,https://lettersfortitles.com/x%e2%89%a0y%e2%89%a0z-xy-z-y-x%c3%b7z/,2022-10-24,2023-09-09,repository data/corpus.json; WordPress REST API harvest; day precision
9922,A Horrible Wonder,https://lettersfortitles.com/a-horrible-wonder/,2022-10-25,2022-10-17,repository data/corpus.json; WordPress REST API harvest; day precision
9765,The Water Cycle,https://lettersfortitles.com/the-water-cycle/,2022-10-26,2022-10-18,repository data/corpus.json; WordPress REST API harvest; day precision
9897,Soon After it Becomes Water,https://lettersfortitles.com/soon-after-it-becomes-water/,2022-10-27,2022-10-21,repository data/corpus.json; WordPress REST API harvest; day precision
9883,H is for Hwat is it,https://lettersfortitles.com/h-is-for-hwat-is-it/,2022-10-28,2022-10-24,repository data/corpus.json; WordPress REST API harvest; day precision
9941,L is for Letters for Titles,https://lettersfortitles.com/l-is-for-letters-for-titles/,2022-10-31,2022-11-03,repository data/corpus.json; WordPress REST API harvest; day precision
9925,How to Go Overboard,https://lettersfortitles.com/how-to-go-overboard/,2022-11-01,2023-01-13,repository data/corpus.json; WordPress REST API harvest; day precision
9763,Translating Lagu,https://lettersfortitles.com/translating-lagu/,2022-11-02,2022-10-26,repository data/corpus.json; WordPress REST API harvest; day precision
9761,Translating Hægl,https://lettersfortitles.com/deus-absconditus/,2022-11-03,2022-11-03,repository data/corpus.json; WordPress REST API harvest; day precision
